Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
5/8/2021,, CAMINO EDUARDO PEREZ Y CAMINO LOS HORNEROS, DESPISTE, LEVE, JUEVES, 0, CANELONES, SIN DATOS, 1, 596410, 6150570 
24/8/2021,, MANUEL RODRIGUEZ CORREA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, TACUAREMBO, TACUAREMBO, 1, 595445, 6490110 
28/9/2021,, FRANCISCO ACUÑA DE FIGUEROA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, SALTO, SALTO, 1, 407955, 6526175 
29/9/2021,, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 1, 580195, 6140730 
17/4/2021,, LUCAS OBES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 17, MONTEVIDEO, MONTEVIDEO, 1, 572370, 6141890 
1/7/2021,, MANUEL BLANES VIALE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 18, SORIANO, MERCEDES, 1, 403500, 6319835 
4/4/2021,, SIN DATOS, DESPISTE, LEVE, DOMINGO, 13, CANELONES, SIN DATOS, 1, 602700, 6175985 
19/4/2021,, CHARRUAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 14, RIO NEGRO, FRAY BENTOS, 1, 379975, 6334125 
27/9/2021,, RUTA 39, CAÍDA, LEVE, LUNES, 10, MALDONADO, SIN DATOS, 1, 688185, 6142805 
18/8/2021,, CERRITO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 8, PAYSANDU, PAYSANDU, 1, 398850, 6425510 
26/8/2021,, AGAPITO PARABERA ESQ F. MORENO, CAÍDA, SIN LESIONADOS, JUEVES, 17, MALDONADO, MALDONADO, 1, 688595, 6136775 
18/7/2021,, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 20, MONTEVIDEO, MONTEVIDEO, 1, 573460, 6142485 
8/9/2021,, BR. VIERA Y BENAVIDEZ, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 10, SORIANO, MERCEDES, 1, 403745, 6318725 
30/4/2021,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 9, MONTEVIDEO, MONTEVIDEO, 1, 579510, 6139155 
27/5/2021,, PRESIDENTE FELICIANO ALBERTO VIERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, RIVERA, RIVERA, 1, 639695, 6579380 
13/9/2021,, AP. SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MALDONADO, SAN RAFAEL - EL PLACER, 1, 692545, 6134200 
