Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
15/1/2022,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, ROCHA, ROCHA, 1, 745115, 6180900 
7/12/2021,, CAMINO CASTRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 1, 572980, 6143265 
27/11/2021,, RINCON, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, ARTIGAS, ARTIGAS, 1, 551410, 6636140 
8/1/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, SÁBADO, 11, ROCHA, SIN DATOS, 1, 766585, 6174185 
29/11/2021,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 19, SORIANO, MERCEDES, 1, 403485, 6319935 
23/12/2021,, ACEVEDO DIAZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 18, MONTEVIDEO, MONTEVIDEO, 1, 576225, 6136480 
3/12/2021,, VIA_PUBLICA, CAÍDA, LEVE, VIERNES, 21, MALDONADO, PUNTA DEL ESTE, 1, 688085, 6130115 
17/12/2021,, AVENIDA AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 573115, 6140515 
25/12/2021,, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 6, CANELONES, PROGRESO, 1, 571450, 6163435 
28/12/2021,, SIN DATOS, CAÍDA, SIN LESIONADOS, MARTES, 16, MONTEVIDEO, MONTEVIDEO, 1, 582480, 6146820 
4/1/2022,, AVENIDA PEDRO BLANES VIALE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 11, CANELONES, SIN DATOS, 1, 570365, 6157555 
2/1/2022,, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 18, MONTEVIDEO, MONTEVIDEO, 1, 584245, 6140980 
9/11/2021,, DOCTOR JOSE VEROCAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, PAYSANDU, PAYSANDU, 1, 399075, 6423945 
14/11/2021,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 20, SALTO, SALTO, 1, 407780, 6526830 
25/1/2022,, CAMINO A RINCÓN DE LA ALDEA, ATROPELLO DE ANIMALES, GRAVE, MARTES, 21, TACUAREMBO, SIN DATOS, 1, 589260, 6488275 
19/12/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 23, MONTEVIDEO, MONTEVIDEO, 1, 574370, 6137130 
24/1/2022,, SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, LAVALLEJA, MINAS, 1, 661645, 6194535 
20/11/2021,, AVENIDA ITALIA, CAÍDA, LEVE, SÁBADO, 19, MONTEVIDEO, MONTEVIDEO, 1, 582190, 6139255 
