Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
27/7/2015, EDUARDO MARQUEZ CASTRO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 16, CANELONES, SOLYMAR, 1, 595725, 6145100 
20/7/2015, SAN PETESBURGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 577020, 6143170 
7/9/2015, AVENIDA GENERAL RONDEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 573745, 6138710 
6/7/2015, CABILDO, DESPISTE, SIN LESIONADOS, LUNES, 20, SORIANO, VILLA SORIANO, 1, 376740, 6303145 
15/6/2015, ASAMBLEA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, SAN JOSE, SAN JOSE DE MAYO, 1, 525945, 6200010 
8/6/2015, BESARES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 579055, 6143005 
23/11/2015, GALICIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 573410, 6137685 
5/10/2015, MANUEL RODRIGUEZ CORREA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 19, TACUAREMBO, TACUAREMBO, 1, 595310, 6490270 
8/6/2015, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, CANELONES, SOLYMAR, 1, 594750, 6145725 
29/6/2015, BOULEVARD GENERAL ARTIGAS, CAÍDA, LEVE, LUNES, 6, MONTEVIDEO, MONTEVIDEO, 1, 573430, 6140875 
16/11/2015, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 576510, 6138400 
1/6/2015, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 9, TACUAREMBO, TACUAREMBO, 1, 596070, 6490920 
17/8/2015, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 5, PAYSANDU, PAYSANDU, 1, 399135, 6423190 
4/5/2015, C COLMAN Y J LAGUNA, DESPISTE, SIN LESIONADOS, LUNES, 19, TREINTA Y TRES, TREINTA Y TRES, 1, 744760, 6320135 
6/7/2015, CAMINO GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 576075, 6145180 
4/5/2015, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 15, RIVERA, RIVERA, 1, 639330, 6580230 
21/12/2015, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MALDONADO, MALDONADO, 1, 686830, 6136835 
